Repeated,Needed,att_needed,Fields,XMLPath
119057,,,,mods
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']"
51,yes,,field_contact_info,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/accessCondition [@displayLabel = 'Contact Information', @type = 'use and reproduction']"
51,yes,,field_rights_statement,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/accessCondition [@displayLabel = 'Rights Statement', @type = 'use and reproduction', @{http://www.w3.org/1999/xlink}href = 'http://rightsstatements.org/vocab/InC-NC/1.0/']"
51,no,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/accessCondition [@displayLabel= 'Contact Information']"
51,no,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/accessCondition [@displayLabel= 'Rights Statement']"
102,no,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/accessCondition [@type= 'use and reproduction']"
51,yes,yes,rights_statement_uri,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/accessCondition [@{http://www.w3.org/1999/xlink}href= 'http://rightsstatements.org/vocab/InC-NC/1.0/']"
51,yes,,field_genre,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/genre [@authority = 'aat']"
51,yes,,field_identifier,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/identifier [@displayLabel = 'Item Number', @type = 'local']"
51,yes,,field_identifier,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/identifier [@displayLabel = 'Volume ID', @type = 'local']"
51,no,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/identifier [@displayLabel= 'Item Number']"
51,no,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/identifier [@displayLabel= 'Volume ID']"
102,no,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/identifier [@type= 'local']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/language"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/language/languageTerm [@authority = 'rfc3066', @type = 'code']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/language/languageTerm [@authority= 'rfc3066']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/language/languageTerm [@type = 'text']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/language/languageTerm [@type= 'code']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/location"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/location/physicalLocation [@authority = 'oclcorg', @displayLabel = 'OCLC Member Symbol']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/location/physicalLocation [@authority= 'oclcorg']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/location/physicalLocation [@displayLabel = 'Physical Location', @{http://www.w3.org/1999/xlink}href = 'http://lib.lsu.edu']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/location/physicalLocation [@displayLabel= 'OCLC Member Symbol']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/location/physicalLocation [@displayLabel= 'Physical Location']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/location/physicalLocation [@{http://www.w3.org/1999/xlink}href= 'http://lib.lsu.edu']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@authority = 'naf', @authorityURI = 'http://id.loc.gov/authorities/names', @displayLabel = 'Contributing Repository', @type = 'corporate', @valueURI = 'http://id.loc.gov/authorities/names/no2015036095']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@authority = 'naf', @authorityURI = 'http://id.loc.gov/authorities/names', @displayLabel = 'Contributing Repository', @type = 'corporate', @valueURI = 'http://id.loc.gov/authorities/names/no2015036095']/namePart"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@authority = 'naf', @authorityURI = 'http://id.loc.gov/authorities/names', @displayLabel = 'Contributing Repository', @type = 'corporate', @valueURI = 'http://id.loc.gov/authorities/names/no2015036095']/role"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@authority = 'naf', @authorityURI = 'http://id.loc.gov/authorities/names', @displayLabel = 'Contributing Repository', @type = 'corporate', @valueURI = 'http://id.loc.gov/authorities/names/no2015036095']/role/roleTerm [@authority = 'marcrelator', @authorityURI = 'http://id.loc.gov/vocabulary/relators', @type = 'text', @valueURI = 'http://id.loc.gov/vocabulary/relators/rps']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@authority = 'naf', @authorityURI = 'http://id.loc.gov/authorities/names', @displayLabel = 'Contributing Repository', @type = 'corporate', @valueURI = 'http://id.loc.gov/authorities/names/no2015036095']/role/roleTerm [@authority= 'marcrelator']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@authority = 'naf', @authorityURI = 'http://id.loc.gov/authorities/names', @displayLabel = 'Contributing Repository', @type = 'corporate', @valueURI = 'http://id.loc.gov/authorities/names/no2015036095']/role/roleTerm [@authorityURI= 'http://id.loc.gov/vocabulary/relators']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@authority = 'naf', @authorityURI = 'http://id.loc.gov/authorities/names', @displayLabel = 'Contributing Repository', @type = 'corporate', @valueURI = 'http://id.loc.gov/authorities/names/no2015036095']/role/roleTerm [@type= 'text']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@authority = 'naf', @authorityURI = 'http://id.loc.gov/authorities/names', @displayLabel = 'Contributing Repository', @type = 'corporate', @valueURI = 'http://id.loc.gov/authorities/names/no2015036095']/role/roleTerm [@valueURI= 'http://id.loc.gov/vocabulary/relators/rps']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@authority= 'naf']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@authorityURI= 'http://id.loc.gov/authorities/names']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@displayLabel = 'Digitized By', @type = 'corporate']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@displayLabel = 'Digitized By', @type = 'corporate']/namePart"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@displayLabel = 'Digitized By', @type = 'corporate']/role"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@displayLabel = 'Digitized By', @type = 'corporate']/role/roleTerm [@authority = 'marcrelator', @authorityURI = 'http://id.loc.gov/vocabulary/relators', @type = 'text', @valueURI = 'http://id.loc.gov/vocabulary/relators/fac']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@displayLabel = 'Digitized By', @type = 'corporate']/role/roleTerm [@authority= 'marcrelator']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@displayLabel = 'Digitized By', @type = 'corporate']/role/roleTerm [@authorityURI= 'http://id.loc.gov/vocabulary/relators']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@displayLabel = 'Digitized By', @type = 'corporate']/role/roleTerm [@type= 'text']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@displayLabel = 'Digitized By', @type = 'corporate']/role/roleTerm [@valueURI= 'http://id.loc.gov/vocabulary/relators/fac']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@displayLabel= 'Contributing Repository']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@displayLabel= 'Digitized By']"
102,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@type= 'corporate']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/name [@valueURI= 'http://id.loc.gov/authorities/names/no2015036095']"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/originInfo"
51,,,,"mods [@version = '3.5', @{http://www.w3.org/2001/XMLSchema-instance}schemaLocation = 'http://www.loc.gov/mods/v3 http://www.loc.gov/standards/mods/v3/mods-3-5.xsd']/originInfo/dateCaptured"
